//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
237           3             0           171           105           3             //Charon
242           3             0           173           125           1             //Elf Lala
243           3             0           195           124           2             //Eo the Craftsman
240           3             0           172           96            3             //Safety Guardian
238           3             0           180           103           1             //Chaos Goblin
257           3             0           167           118           1             //Shadow Phantom Soldier
450           3             0           179           126           1             //Cherry Blossom Spirit
451           3             0           179           129           3             //Cherry Blossom Tree
257           3             0           166           85            2             //Shadow Phantom Soldier
257           3             0           201           129           2             //Shadow Phantom Soldier
544           3             0           167           100           2             //Gens Vanert Steward
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
3             3             30          139           63            247           164           -1            60            //Spider
26            3             30          109           46            154           181           -1            10            //Goblin
26            3             30          136           156           247           204           -1            10            //Goblin
26            3             30          135           42            247           73            -1            10            //Goblin
27            3             30          109           46            154           181           -1            20            //Chain Scorpion
27            3             30          135           42            247           73            -1            20            //Chain Scorpion
27            3             30          136           156           247           204           -1            20            //Chain Scorpion
33            3             30          106           3             247           40            -1            20            //Elite Goblin
33            3             30          59            6             128           106           -1            20            //Elite Goblin
28            3             30          106           3             247           40            -1            20            //Beetle Monster
28            3             30          59            6             128           106           -1            20            //Beetle Monster
29            3             30          106           3             247           40            -1            20            //Hunter
29            3             30          59            6             128           106           -1            20            //Hunter
30            3             30          7             4             63            176           -1            10            //Forest Monster
30            3             30          41            107           107           181           -1            10            //Forest Monster
30            3             30          105           184           247           246           -1            10            //Forest Monster
31            3             30          7             4             63            176           -1            20            //Agon
31            3             30          41            107           107           181           -1            20            //Agon
31            3             30          105           184           247           246           -1            20            //Agon
32            3             30          4             168           115           248           -1            40            //Stone Golem
end
